"nid","Sequence","Judge.Name","Type","Other.Federal.Judicial.Service","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25"
1391381,1,"Bates, John D.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2006-2013; presiding judge, 2009-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393636,1,"Battaglia, Anthony Joseph","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 1993-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5153456,1,"Baxter, Susan Paradise","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Pennsylvania, 1995-2018; chief magistrate judge, 2005-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761616,1,"Bazis, Susan Mason","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Nebraska, 2017-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761516,1,"Becerra, Jacqueline","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Florida, 2019-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377651,1,"Becker, William Henry","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1977-1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393891,1,"Bencivengo, Cathy Ann","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 2005-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392166,1,"Benitez, Roger T.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 2001-2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377741,1,"Bennett, Marion Tinsley","Court of Claims","Trial Judge, Court of Claims, 1949-1972; chief of Trial Division, 1964-1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377746,1,"Bennett, Mark W.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Iowa, 1991-1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377751,1,"Benson, Dee Vance","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2004-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377816,1,"Biggs, John, Jr.","Referee in Bankruptcy","Referee in Bankruptcy, District of Delaware, 1924-1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393816,1,"Bissoon, Cathy","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Pennsylvania, 2008-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377881,1,"Black, Norman William","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the Southern District of Texas, 1976-1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393131,1,"Black, Timothy Seymour","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Ohio, 2004-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393006,1,"Blackford, Isaac Newton","Territorial Courts","Judge, Circuit Court of Indiana Territory, First Judicial Circuit, 1814-1815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377916,1,"Blake, Catherine C.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 1987-1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10300021,1,"Boardman, Deborah Lynn","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 2019-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393651,1,"Boasberg, James Emanuel","District of Columbia Courts","Judge, Superior Court of the District of Columbia, 2002-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393651,2,"Boasberg, James Emanuel","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2014-2021; presiding judge, 2020-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393651,3,"Boasberg, James Emanuel","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 2020-2025; chief judge, 2020-2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378016,1,"Bonsal, Dudley Baldwin","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1977-1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378016,2,"Bonsal, Dudley Baldwin","U.S. Court for Berlin","U.S. Court for Berlin, 1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378016,3,"Bonsal, Dudley Baldwin","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1981-1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378071,1,"Bowen, Dudley Hollingsworth, Jr.","Referee in Bankruptcy","Referee in Bankruptcy, Southern District of Georgia, 1972-1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378071,2,"Bowen, Dudley Hollingsworth, Jr.","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Southern District of Georgia, 1973-1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378101,1,"Boyd, Marion Speed","Referee in Bankruptcy","Referee in Bankruptcy, Western District of Tennessee, 1935-1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392171,1,"Boyle, Jane J.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Northern District of Texas, 1990-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393511,1,"Bredar, James Kelleher","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 1998-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391771,1,"Breen, J. Daniel","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Tennessee, 1991-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378271,1,"Brinkema, Leonie M.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Eastern District of Virginia, 1985-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378331,1,"Bronson, Isaac Hopkins","Territorial Courts","Judge, U.S. District Court for the Eastern District of Florida Territory, 1840-1845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13481986,1,"Brookman, Matthew Paul","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Indiana, 2016-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378336,1,"Brooks, Gene Edward","Referee in Bankruptcy","Referee in Bankruptcy, Southern District of Indiana, 1968-1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378336,2,"Brooks, Gene Edward","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Southern District of Indiana, 1973-1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378351,1,"Broomfield, Robert Cameron","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2002-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378361,1,"Brotman, Stanley Seymour","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1997-2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7545476,1,"Brown, Gary Richard","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of New York, 2011-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393351,1,"Brown, George Stewart","Board of General Appraisers","Member, Board of General Appraisers. Nominated by Woodrow Wilson on October 16, 1913, to a seat vacated by Roy H. Chamberlain. Confirmed by the Senate on November 13, 1913, and received commission on November 14, 1913. Service terminated on May 28, 1926, due to reassignment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378411,1,"Brown, Wesley Ernest","Referee in Bankruptcy","Referee in Bankruptcy, District of Kansas, 1958-1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378411,2,"Brown, Wesley Ernest","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1980-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378446,1,"Bryan, Albert Vickers, Jr.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1979-1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378486,1,"Bryant, William Benson","Special Railroad Court","Judge, Special Railroad Court, 1982-1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378491,1,"Bryson, William Curtis","Foreign Intelligence Surveillance Court of Review","Judge, Foreign Intelligence Surveillance Court of Review, 2011-2018; presiding judge, 2013-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391026,1,"Buchwald, Naomi Reice","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Southern District of New York, 1980-1999; chief magistrate judge, 1994-1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378516,1,"Bucklo, Elaine E.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Northern District of Illinois, 1985-1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761656,1,"Bulsara, Sanket Jayshukh","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of New York, 2017-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378566,1,"Burgess, Franklin D.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Western District of Washington, 1981-1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392001,1,"Burns, Larry Alan","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 1997-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378686,1,"Cabranes, José Alberto","Foreign Intelligence Surveillance Court of Review","Judge, Foreign Intelligence Surveillance Court of Review, 2013-2020; presiding judge, 2018-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378691,1,"Cacheris, James Chris","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1993-2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378691,2,"Cacheris, James Chris","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 2005-2016; chief judge, 2006-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390311,1,"Cancio, Hiram Rafael","Territorial Courts","Judge, U.S. District Court for the District of Puerto Rico, 1965-1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378841,1,"Carland, John Emmett","Commerce Court","Judge, Commerce Court. Nominated by William H. Taft on December 12, 1910, to a new seat authorized by 36 Stat. 539. Confirmed by the Senate on January 31, 1911, and received commission on January 31, 1911. Service terminated on December 13, 1913, due to abolition of the court.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378876,1,"Carr, James G.","U.S. Magistrate/U.S. Magistrate Judge","U.S. Magistrate/U.S. Magistrate Judge, U.S. District Court for the Northern District of Ohio, 1979-1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378876,2,"Carr, James G.","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 2002-2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7883206,1,"Carreño-Coll, Silvia Luisa","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Puerto Rico, 2011-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378891,1,"Carroll, Earl Hamblin","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1993-1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378891,2,"Carroll, Earl Hamblin","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 1996-2006; chief judge, 1996-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4625001,1,"Carson, Joel McElroy III","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of New Mexico, 2015-2018 (part-time)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
