caseid,timetoentry,entry,priorvote,democrat,south,warchest
1408,64,0,.74000001,1,0,1.05435
1408,53,0,.74000001,1,0,1.05246
4207,63,0,.79000002,0,1,.62942898
3404,53,0,1,0,0,.31037501
902,45,0,.99000001,0,1,.127572
1809,53,0,1,1,0,.39417201
1003,39,0,1,1,1,.187374
4224,53,0,.92000002,1,1,.38470501
4221,53,0,.93000001,0,1,.26701099
3404,63,0,1,0,0,.297674
1003,26,0,1,1,1,.179528
4207,26,0,.79000002,0,1,.61282402
1809,26,0,1,1,0,.37891299
4208,53,0,1,0,1,.082390003
4105,53,0,1,1,1,.169358
3007,65,0,.74000001,0,0,.93398601
3007,75,0,.74000001,0,0,.93383503
4105,83,0,1,1,1,.16855501
1408,26,0,.74000001,1,0,1.0155801
4105,78,0,1,1,1,.160855
4224,63,0,.92000002,1,1,.35990801
3316,78,0,.97000003,1,0,.438867
3316,26,0,.97000003,1,0,.438348
4105,65,0,1,1,1,.156498
3310,26,0,.77999997,1,0,.905128
1705,74,0,1,0,0,.262308
1705,65,0,1,0,0,.25965101
4104,83,0,1,1,1,.140377
4107,83,0,.80000001,0,1,.54972202
4221,26,0,.93000001,0,1,.21640299
2603,43,0,1,1,1,.13107
1705,53,0,1,0,0,.24479499
3325,78,0,1,0,0,.23874199
2603,26,0,1,1,1,.121952
3309,53,0,1,1,0,.32241699
3325,65,0,1,0,0,.232363
3007,53,0,.74000001,0,0,.87973797
4502,78,0,1,1,0,.316838
3325,53,0,1,0,0,.22164001
902,26,0,.99000001,0,1,.039289001
3712,26,0,1,1,0,.30637601
4104,78,0,1,1,1,.099905998
3325,89,0,1,0,0,.21495999
3404,26,0,1,0,0,.211294
3709,65,0,1,0,0,.209611
3307,89,0,1,1,0,.298944
4104,65,0,1,1,1,.092959002
3309,65,0,1,1,0,.29614699
4217,26,0,1,1,1,.084077999
4104,53,0,1,1,1,.083003998
2602,58,0,1,1,1,.082872003
3316,89,1,.97000003,1,0,.356846
2602,26,0,1,1,1,.075739004
4224,26,0,.92000002,1,1,.27467099
4104,26,0,1,1,1,.075080998
1705,26,0,1,0,0,.190743
3325,26,0,1,0,0,.190538
3307,78,0,1,1,0,.27896699
4502,81,0,1,1,0,.27684599
3316,65,0,.97000003,1,0,.351302
3711,65,0,1,1,0,.27401599
3102,75,0,1,0,0,.184259
2602,53,0,1,1,1,.064542003
3307,26,0,1,1,0,.269357
4217,53,0,1,1,1,.058784999
3709,53,0,1,0,0,.174595
3334,73,0,.95999998,0,0,.26938
4217,63,0,1,1,1,.050868999
3712,53,0,1,1,0,.256392
3316,53,0,.97000003,1,0,.33119801
301,46,0,1,1,1,.046769999
4107,78,0,.80000001,0,1,.455621
4107,65,0,.80000001,0,1,.45199099
3709,72,0,1,0,0,.15637501
3711,53,0,1,1,0,.245819
301,26,0,1,1,1,.039476998
3309,26,0,1,1,0,.244553
3307,53,0,1,1,0,.24166501
3102,65,0,1,0,0,.14636201
4107,53,0,.80000001,0,1,.439311
4105,26,0,1,1,1,.029711001
4502,53,0,1,1,0,.23459101
3333,89,0,1,1,0,.229623
4502,65,0,1,1,0,.229537
3717,53,0,1,0,0,.138798
1407,53,0,1,1,0,.22709399
4604,70,0,1,1,0,.22518601
3717,65,0,1,0,0,.134086
3333,78,0,1,1,0,.221875
1407,26,0,1,1,0,.220241
3711,26,0,1,1,0,.218447
3717,72,0,1,0,0,.12772299
4216,63,0,1,1,1,.011211
4210,51,0,.93000001,1,1,.182344
4216,53,0,1,1,1,.0071399999
3717,26,0,1,0,0,.122033
3307,65,0,1,1,0,.211301
4216,26,0,1,1,1,.0025150001
3102,53,0,1,0,0,.118399
3007,26,0,.74000001,0,0,.76670301
4218,63,0,.99000001,1,1,.026062001
3333,53,0,1,1,0,.20562799
3504,78,0,1,1,0,.20138399
4218,53,0,.99000001,1,1,.018214
3333,65,0,1,1,0,.198431
4502,26,0,1,1,0,.194773
4604,53,0,1,1,0,.19448701
2116,53,0,.97000003,1,0,.26870701
3709,26,0,1,0,0,.104073
4604,65,0,1,1,0,.193436
3102,26,0,1,0,0,.1036
4215,26,0,.93000001,1,1,.161732
3334,65,0,.95999998,0,0,.202006
4604,26,0,1,1,0,.18626601
4215,63,0,.93000001,1,1,.15235899
2116,26,0,.97000003,1,0,.257153
4218,26,0,.99000001,1,1,0
3504,57,0,1,1,0,.180655
4215,53,0,.93000001,1,1,.148388
3333,26,0,1,1,0,.179322
1701,74,0,.94999999,1,0,.300412
4106,83,0,.75999999,1,1,.56529301
3334,53,0,.95999998,0,0,.179042
4225,63,0,.70999998,1,1,.67876202
404,56,0,.87,0,0,.395033
1701,65,0,.94999999,1,0,.279856
1803,78,0,1,1,0,.15474001
1811,90,0,.80000001,1,0,.65309697
4225,53,0,.70999998,1,1,.67016202
4210,26,0,.93000001,1,1,.116742
2118,40,0,.75999999,0,0,.65565199
3504,53,0,1,1,0,.14458901
1803,90,0,1,1,0,.14253201
1701,53,0,.94999999,1,0,.26687601
1811,78,0,.80000001,1,0,.63959599
3712,65,0,1,1,0,.138785
3334,26,0,.95999998,0,0,.148057
1803,65,0,1,1,0,.13644201
4106,78,0,.75999999,1,1,.52915502
1701,26,0,.94999999,1,0,.25060901
1803,53,0,1,1,0,.125091
3504,26,0,1,1,0,.121943
303,66,0,.74000001,0,1,.47163999
1407,64,0,1,1,0,.117425
2118,26,0,.75999999,0,0,.62453699
919,26,0,.72000003,1,1,.602166
3711,72,0,1,1,0,.106439
2401,70,0,.77999997,1,1,.44917399
4505,42,0,.75999999,1,0,.70483601
3712,72,0,1,1,0,.105722
2401,65,0,.77999997,1,1,.44586399
1907,78,0,1,1,0,.101904
4702,57,0,1,1,0,.096490003
2401,53,0,.77999997,1,1,.435184
1706,74,0,.73000002,0,0,.66918802
2403,75,0,.88,1,1,.17839199
4702,26,0,1,1,0,.082028002
3304,89,0,.69999999,0,0,.74091899
1803,26,0,1,1,0,.080115996
1706,65,0,.73000002,0,0,.66352302
1706,53,0,.73000002,0,0,.66068202
1907,53,0,1,1,0,.075225003
3720,65,0,.98000002,1,0,.123118
3720,72,0,.98000002,1,0,.122887
1907,26,0,1,1,0,.067932002
1907,89,0,1,1,0,.066405997
4702,53,0,1,1,0,.064718001
3720,53,0,.98000002,1,0,.114555
1907,65,0,1,1,0,.061903998
303,65,0,.74000001,0,1,.407204
503,10,0,.70999998,1,0,.77736002
4203,53,0,.81,0,1,.231905
4107,26,0,.80000001,0,1,.256807
303,53,0,.74000001,0,1,.403846
1811,65,0,.80000001,1,0,.54753703
1811,53,0,.80000001,1,0,.54152101
4505,26,0,.75999999,1,0,.639516
4203,63,0,.81,0,1,.21784601
522,53,0,.69,0,0,.72038603
3308,78,0,1,1,0,.035332002
3720,26,0,.98000002,1,0,.081605002
2403,26,0,.88,1,1,.124307
1706,26,0,.73000002,0,0,.61223501
3308,89,0,1,1,0,.027372001
2403,53,0,.88,1,1,.116627
522,61,0,.69,0,0,.70295203
3703,33,0,.94,1,0,.168313
2403,65,0,.88,1,1,.111928
3308,65,0,1,1,0,.016713001
3702,65,0,.93000001,1,0,.190072
2401,26,0,.77999997,1,1,.35650399
4225,26,0,.70999998,1,1,.52529901
3308,26,0,1,1,0,.00373
3304,78,0,.69999999,0,0,.66187501
3308,53,0,1,1,0,.001763
404,53,0,.87,0,0,.235985
908,78,0,.73000002,0,1,.37895101
4106,65,0,.75999999,1,1,.39350501
3722,70,0,.95999998,1,0,.098439999
303,26,0,.74000001,0,1,.34777999
4106,53,0,.75999999,1,1,.38356099
3328,82,0,.93000001,1,0,.16476101
3328,78,0,.93000001,1,0,.16436601
3703,26,0,.94,1,0,.137226
3722,26,0,.95999998,1,0,.085887
404,26,0,.87,0,0,.21927901
3722,65,0,.95999998,1,0,.081584997
3722,53,0,.95999998,1,0,.081453003
908,88,0,.73000002,0,1,.35562301
4202,26,0,.87,1,1,.093183003
1811,26,0,.80000001,1,0,.457829
4206,54,0,.67000002,0,1,.485562
3328,53,0,.93000001,1,0,.131835
908,53,0,.73000002,0,1,.332266
3328,65,0,.93000001,1,0,.127817
3328,26,0,.93000001,1,0,.123265
3304,65,0,.69999999,0,0,.60456002
3702,26,0,.93000001,1,0,.119319
908,65,0,.73000002,0,1,.320564
3304,53,0,.69999999,0,0,.60016602
1401,53,0,.95999998,1,0,.039956
4202,53,0,.87,1,1,.051833
522,26,0,.69,0,0,.61618102
4206,53,0,.67000002,0,1,.460042
1401,64,0,.95999998,1,0,.031463001
4203,26,0,.81,0,1,.105473
3906,76,0,.75999999,1,1,.319552
3332,89,0,.72000003,1,0,.62244898
1801,26,0,.81999999,0,0,.28299499
3705,70,0,.77999997,0,0,.38247201
1801,40,0,.81999999,0,0,.28066701
1401,26,0,.95999998,1,0,.018183
908,26,0,.73000002,0,1,.29371199
3906,65,0,.75999999,1,1,.29576901
2607,71,0,.67000002,1,1,.51440501
3702,72,0,.93000001,1,0,.071492001
1005,65,0,.77999997,1,1,.23983
3705,53,0,.77999997,0,0,.35601199
3705,26,0,.77999997,0,0,.34777901
4106,26,0,.75999999,1,1,.274854
1005,69,0,.77999997,1,1,.213257
3906,53,0,.75999999,1,1,.26048201
3421,71,0,.85000002,1,0,.241273
3318,65,0,.93000001,1,0,.041285001
3402,71,0,.72000003,0,0,.468606
3318,53,0,.93000001,1,0,.033199001
3702,53,0,.93000001,1,0,.032648999
916,78,0,.69,1,1,.42478701
1905,65,0,.77999997,1,0,.40534201
2101,26,0,.91000003,1,0,.080932997
3332,78,0,.72000003,1,0,.54895401
3705,65,0,.77999997,0,0,.309542
3312,78,0,.93000001,1,0,.021032
916,88,0,.69,1,1,.413495
3318,78,0,.93000001,1,0,.01998
3312,26,0,.93000001,1,0,.019562
3312,89,0,.93000001,1,0,.019556999
1010,56,0,.63,1,1,.559048
3312,53,0,.93000001,1,0,.016376
1905,67,0,.77999997,1,0,.390277
3312,65,0,.93000001,1,0,.01386
3421,26,0,.85000002,1,0,.212559
3318,89,0,.93000001,1,0,.012411
1010,53,0,.63,1,1,.55485302
4606,89,0,.74000001,0,0,.39415899
3421,53,0,.85000002,1,0,.208537
3304,26,0,.69999999,0,0,.48925701
1905,53,0,.77999997,1,0,.37883601
3311,89,0,.88,1,0,.128815
3318,26,0,.93000001,1,0,0
2607,65,0,.67000002,1,1,.442099
525,65,0,.85000002,1,0,.198019
3332,65,0,.72000003,1,0,.52226597
525,53,0,.85000002,1,0,.197879
525,75,0,.85000002,1,0,.19643199
2607,53,0,.67000002,1,1,.43871999
3421,65,0,.85000002,1,0,.195224
2101,73,0,.91000003,1,0,.044477001
3311,78,0,.88,1,0,.118428
1415,64,0,.70999998,0,0,.45252001
3332,53,0,.72000003,1,0,.51607502
1415,53,0,.70999998,0,0,.45025301
2607,26,0,.67000002,1,1,.432372
4606,78,0,.74000001,0,0,.37379199
916,53,0,.69,1,1,.381603
916,65,0,.69,1,1,.37557799
3906,26,0,.75999999,1,1,.200708
1808,90,0,.80000001,1,0,.30365101
1005,53,0,.77999997,1,1,.147129
3311,53,0,.88,1,0,.103286
1010,26,0,.63,1,1,.51983303
3009,65,0,.67000002,1,0,.62438899
3402,53,0,.72000003,0,0,.408104
3332,26,0,.72000003,1,0,.49707699
3311,26,0,.88,1,0,.093578003
2101,53,0,.91000003,1,0,.018466
524,62,0,.72000003,1,0,.48969501
3402,65,0,.72000003,0,0,.39700401
701,89,0,.76999998,1,0,.36169299
2101,65,0,.91000003,1,0,.01145
1005,26,0,.77999997,1,1,.12987199
304,53,0,.69,1,1,.35419399
1808,78,0,.80000001,1,0,.285467
1415,26,0,.70999998,0,0,.42025399
3311,65,0,.88,1,0,.085173003
701,78,0,.76999998,1,0,.35743701
304,74,0,.69,1,1,.35045201
304,26,0,.69,1,1,.35043001
4606,53,0,.74000001,0,0,.33997899
4606,65,0,.74000001,0,0,.33969101
3402,26,0,.72000003,0,0,.383295
910,78,0,.73000002,0,1,.150473
1808,26,0,.80000001,1,0,.26579699
524,53,0,.72000003,1,0,.46529701
910,88,0,.73000002,0,1,.14290901
525,26,0,.85000002,1,0,.137475
3009,53,0,.67000002,1,0,.57681102
3701,72,0,.75999999,1,0,.35165599
915,88,0,.66000003,0,1,.301128
304,65,0,.69,1,1,.315373
3009,26,0,.67000002,1,0,.56980997
4206,26,0,.67000002,0,1,.27122799
3710,72,0,.73000002,0,0,.32675201
4109,78,0,.81,1,1,.010682
4109,65,0,.81,1,1,.010419
3721,72,0,.77999997,0,0,.20153201
4109,83,0,.81,1,1,.007007
4109,53,0,.81,1,1,.006486
4606,26,0,.74000001,0,0,.29697901
2405,34,0,.81,1,1,.003453
4609,89,0,.74000001,0,0,.29436901
3710,53,0,.73000002,0,0,.31822699
4109,26,0,.81,1,1,.00027600001
2405,26,0,.81,1,1,0
915,78,0,.66000003,0,1,.28361899
3710,26,0,.73000002,0,0,.31196499
3721,65,0,.77999997,0,0,.18606301
3412,65,0,.80000001,0,0,.13525
1412,64,0,.75,0,0,.25641799
511,26,0,.69999999,1,0,.470182
3701,65,0,.75999999,1,0,.32036
510,75,0,.86000001,1,0,.069799997
4226,61,0,.69,0,1,.19853801
1808,53,0,.80000001,1,0,.21934301
910,65,0,.73000002,0,1,.096112996
1905,26,0,.77999997,1,0,.26646999
910,26,0,.73000002,0,1,.093358003
206,75,0,.66000003,1,1,.354563
910,53,0,.73000002,0,1,.090333
1009,8,0,.62,1,1,.454061
3710,65,0,.73000002,0,0,.29565299
4601,78,0,.75999999,1,0,.308792
4609,78,0,.74000001,0,0,.26697099
4401,75,0,.73000002,0,1,.084357001
3721,53,0,.77999997,0,0,.16520201
701,53,0,.76999998,1,0,.279331
701,65,0,.76999998,1,0,.27895099
913,78,0,.70999998,0,1,.129962
2208,41,0,.74000001,1,0,.34784299
1704,62,0,.74000001,0,0,.25692999
3306,78,0,.86000001,1,0,.046225
510,53,0,.86000001,1,0,.043653
3306,89,0,.86000001,1,0,.041460998
3403,71,0,.75999999,1,0,.289626
3721,26,0,.77999997,0,0,.15007199
4601,89,0,.75999999,1,0,.28819799
1808,65,0,.80000001,1,0,.187856
3403,53,0,.75999999,1,0,.28753299
3306,65,0,.86000001,1,0,.034221999
3412,53,0,.80000001,0,0,.093978003
4401,53,0,.73000002,0,1,.060495999
507,53,0,.68000001,1,0,.48001701
4226,53,0,.69,0,1,.15901899
2208,26,0,.74000001,1,0,.32939601
3412,26,0,.80000001,0,0,.089762002
913,65,0,.70999998,0,1,.10729
507,63,0,.68000001,1,0,.47742301
3317,53,0,.83999997,1,0,.077462003
4409,76,0,.63,1,1,.39457199
913,53,0,.70999998,0,1,.105274
510,26,0,.86000001,1,0,.024604
4401,65,0,.73000002,0,1,.053328998
516,72,1,.79000002,1,0,.198608
913,88,0,.70999998,0,1,.102256
3306,57,0,.86000001,1,0,.023363
3403,65,0,.75999999,1,0,.27282599
510,65,0,.86000001,1,0,.020780999
1704,53,0,.74000001,0,0,.230295
4609,65,0,.74000001,0,0,.229634
506,63,0,.73000002,1,0,.342998
206,53,0,.66000003,1,1,.31134999
3306,26,0,.86000001,1,0,.018061001
3317,65,0,.83999997,1,0,.067521997
206,65,0,.66000003,1,1,.31018499
2105,82,0,.72000003,0,0,.27634901
507,26,0,.68000001,1,0,.464268
3321,78,0,.74000001,0,0,.223555
3506,87,0,.73000002,1,0,.33738899
3403,26,0,.75999999,1,0,.262483
3317,71,0,.83999997,1,0,.061407998
2108,84,1,.72000003,1,0,.36047801
4410,73,0,.68000001,0,1,.164708
4401,26,0,.73000002,0,1,.039778002
2105,78,0,.72000003,0,0,.26902199
3701,53,0,.75999999,1,0,.258472
3506,78,0,.73000002,1,0,.33207199
4226,26,0,.69,0,1,.136042
3905,65,0,.69,1,1,.22542299
3905,53,0,.69,1,1,.224757
2601,57,0,.64999998,1,1,.322088
4601,65,0,.75999999,1,0,.249424
3901,74,0,.63,0,1,.277356
3305,74,0,.64999998,0,0,.42987999
3005,75,0,.75,0,0,.17990901
3010,75,0,.76999998,1,0,.218713
4504,78,0,.74000001,0,0,.203462
516,26,0,.79000002,1,0,.167969
4609,53,0,.74000001,0,0,.20130301
4504,90,0,.74000001,0,0,.201121
506,53,0,.73000002,1,0,.315483
516,65,0,.79000002,1,0,.16497
4504,65,0,.74000001,0,0,.1997
2609,71,0,.64999998,0,1,.218263
3321,89,0,.74000001,0,0,.198838
206,26,0,.66000003,1,1,.281977
916,26,0,.69,1,1,.206062
4409,65,0,.63,1,1,.355656
3317,26,0,.83999997,1,0,.037590001
1903,78,0,.72000003,1,0,.336092
1204,75,0,.70999998,1,0,.36100999
2105,65,0,.72000003,0,0,.24574
2108,81,0,.72000003,1,0,.33450499
915,65,0,.66000003,0,1,.187719
915,53,0,.66000003,0,1,.187133
4601,53,0,.75999999,1,0,.23051
3416,26,0,.77999997,0,0,.090786003
3901,65,0,.63,0,1,.25866899
505,61,0,.75999999,1,0,.22948501
3416,53,0,.77999997,0,0,.089918002
2601,53,0,.64999998,1,1,.297227
1204,65,0,.70999998,1,0,.35304201
1805,26,0,.83999997,1,0,.02868
1406,64,0,.73000002,0,0,.213442
2304,71,0,.70999998,1,0,.35195899
1406,53,0,.73000002,0,0,.21257199
3416,65,0,.77999997,0,0,.087079003
2601,26,0,.64999998,1,1,.29463601
1805,53,0,.83999997,1,0,.026411001
2105,53,0,.72000003,0,0,.234657
3416,67,0,.77999997,0,0,.083796002
516,53,0,.79000002,1,0,.147037
3714,26,0,.77999997,1,0,.17178901
3506,65,0,.73000002,1,0,.296078
203,61,0,.73000002,1,1,.090218
2700,66,0,.69999999,1,0,.37081999
3005,65,0,.75,0,0,.15660501
1204,53,0,.70999998,1,0,.34486401
1904,78,0,.68000001,1,0,.41878
1704,26,0,.74000001,0,0,.178396
1904,86,0,.68000001,1,0,.41659299
3713,68,0,.66000003,0,0,.37691101
3005,53,0,.75,0,0,.150079
1805,62,1,.83999997,1,0,.014765
3905,26,0,.69,1,1,.18275
4222,63,0,.67000002,0,1,.142535
3905,76,0,.69,1,1,.18203799
1903,85,0,.72000003,1,0,.312893
3011,70,0,.69999999,0,0,.27229899
2108,65,0,.72000003,1,0,.31151199
3901,53,0,.63,0,1,.240659
3714,72,0,.77999997,1,0,.161569
3010,65,0,.76999998,1,0,.186226
3103,64,0,.73000002,1,0,.285427
4504,53,0,.74000001,0,0,.169717
4609,26,0,.74000001,0,0,.166192
203,53,0,.73000002,1,1,.072089002
3420,71,0,.81999999,1,0,.052728999
2304,65,0,.70999998,1,0,.32576799
3714,53,0,.77999997,1,0,.15001801
3714,65,0,.77999997,1,0,.149974
3601,53,0,.69,1,0,.37395999
3321,26,0,.74000001,0,0,.15779001
4504,26,0,.74000001,0,0,.157272
3103,53,0,.73000002,1,0,.27162299
3506,53,0,.73000002,1,0,.271272
2108,53,0,.72000003,1,0,.29502901
3409,71,0,.81,1,0,.068177998
2304,53,0,.70999998,1,0,.31724399
1406,26,0,.73000002,0,0,.177442
3420,53,0,.81999999,1,0,.039048001
913,26,0,.70999998,0,1,.016827
3321,53,0,.74000001,0,0,.147815
4222,53,0,.67000002,0,1,.11613
4410,65,0,.68000001,0,1,.090327002
2609,65,0,.64999998,0,1,.16496401
1506,35,0,.72000003,0,0,.19549701
3506,26,0,.73000002,1,0,.259904
3321,65,0,.74000001,0,0,.144705
706,78,0,.66000003,0,0,.342801
506,26,0,.73000002,1,0,.25601101
2105,26,0,.72000003,0,0,.189518
1204,26,0,.70999998,1,0,.303606
4608,35,1,.69,0,0,.26134601
3420,61,0,.81999999,1,0,.026462
1412,53,0,.75,0,0,.11155
2609,53,0,.64999998,0,1,.153956
1412,26,0,.75,0,0,.11029
2700,53,0,.69999999,1,0,.323259
4508,82,0,.69999999,0,0,.231089
4410,53,0,.68000001,0,1,.075094
3415,67,0,.75,0,0,.105355
1501,63,1,.76999998,1,0,.143224
605,79,0,.75,0,0,.103009
1903,65,0,.72000003,1,0,.267304
520,75,0,.70999998,0,0,.20129199
3420,26,0,.81999999,1,0,.016241999
4410,26,0,.68000001,0,1,.069881
701,26,0,.76999998,1,0,.14058299
3418,53,0,.76999998,1,0,.13938101
3418,71,0,.76999998,1,0,.13935199
3302,78,0,.61000001,1,0,.53785801
526,53,0,.69999999,1,0,.31330001
4219,53,0,.67000002,0,1,.092187002
1506,26,0,.72000003,0,0,.173236
4508,78,0,.69999999,0,0,.223125
3302,89,0,.61000001,1,0,.53667301
203,26,0,.73000002,1,1,.030152
3005,26,0,.75,0,0,.096399002
3601,65,0,.69,1,0,.335123
4219,63,0,.67000002,0,1,.089607999
2204,70,0,.72000003,1,0,.259783
3418,65,0,.76999998,1,0,.1345
3901,26,0,.63,0,1,.188428
3409,65,0,.81,1,0,.034658998
3409,26,0,.81,1,0,.033199001
3103,26,0,.73000002,1,0,.23255201
526,65,0,.69999999,1,0,.30734101
3010,53,0,.76999998,1,0,.132478
3010,26,0,.76999998,1,0,.132341
543,75,0,.70999998,0,0,.192105
207,68,0,.67000002,1,1,.17520501
3418,26,0,.76999998,1,0,.130934
524,26,0,.72000003,1,0,.25563201
4204,53,0,.66000003,1,1,.19889399
2700,65,0,.69999999,1,0,.304903
3409,53,0,.81,1,0,.028919
3305,53,0,.64999998,0,0,.33772901
520,53,0,.70999998,0,0,.187683
1903,53,0,.72000003,1,0,.25195599
1402,64,0,.81999999,1,0,.001932
2609,26,0,.64999998,0,1,.13065401
4506,78,0,.67000002,1,0,.37507799
1501,53,0,.76999998,1,0,.12554701
605,65,0,.75,0,0,.085795999
1402,53,0,.81999999,1,0,.000611
3305,65,0,.64999998,0,0,.33482501
1402,26,0,.81999999,1,0,.000014
605,78,0,.75,0,0,.084053002
4222,26,0,.67000002,0,1,.077698998
3305,26,0,.64999998,0,0,.33341399
1419,46,0,.63999999,1,0,.44730499
509,55,0,.72000003,1,0,.24721301
2205,12,0,.72000003,1,0,.24714901
3322,78,0,.69999999,0,0,.207072
207,65,0,.67000002,1,1,.16453101
2304,26,0,.70999998,1,0,.26984599
513,53,0,.67000002,1,0,.36852601
509,53,0,.72000003,1,0,.24319801
1802,53,0,.80000001,1,0,.043524999
4204,63,0,.66000003,1,1,.18600801
2108,26,0,.72000003,1,0,.24174701
4507,78,0,.75999999,1,0,.139962
3713,65,0,.66000003,0,0,.29938501
605,26,0,.75,0,0,.074721999
4601,26,0,.75999999,1,0,.138475
3014,75,0,.67000002,1,0,.36049601
513,75,0,.67000002,1,0,.36025101
1802,26,0,.80000001,1,0,.034582999
3011,26,0,.69999999,0,0,.192983
4212,61,0,.70999998,1,1,.050971001
3415,65,0,.75,0,0,.066886999
543,53,0,.70999998,0,0,.166583
605,53,0,.75,0,0,.066643
1902,89,0,.70999998,0,0,.166366
2201,53,0,.69999999,1,0,.28040799
3719,72,0,.76999998,0,0,.016294001
1410,64,0,.72000003,0,0,.140567
543,26,0,.70999998,0,0,.16549
3415,53,0,.75,0,0,.065637998
1802,78,0,.80000001,1,0,.028982
520,26,0,.70999998,0,0,.163551
1501,26,0,.76999998,1,0,.103055
1414,64,0,.73000002,0,0,.113116
704,81,0,.70999998,0,0,.162266
1410,53,0,.72000003,0,0,.136517
3326,26,0,.75,0,0,.060672998
3719,53,0,.76999998,0,0,.010735
3326,53,0,.75,0,0,.060281001
526,75,0,.69999999,1,0,.27430901
520,65,0,.70999998,0,0,.158756
1802,90,0,.80000001,1,0,.023241
3719,65,0,.76999998,0,0,.0077320002
915,26,0,.66000003,0,1,.076127
2201,78,0,.69999999,1,0,.271355
543,65,0,.70999998,0,0,.15674201
3324,46,0,.72000003,0,0,.13173001
4220,53,0,.69999999,1,1,.065181002
3326,65,0,.75,0,0,.056632999
1419,26,0,.63999999,1,0,.42002299
3701,26,0,.75999999,1,0,.120638
3326,78,0,.75,0,0,.055039
1414,53,0,.73000002,0,0,.104534
2201,65,0,.69999999,1,0,.268646
3011,65,0,.69999999,0,0,.178615
4219,26,0,.67000002,0,1,.047518998
1414,26,0,.73000002,0,0,.10345
2117,84,0,.69999999,1,0,.267277
2204,65,0,.72000003,1,0,.21624599
3719,26,0,.76999998,0,0,.001608
